config,dataset,method,solve_time,result
1_Dist,B,bound,10800.39,454.569
1_Dist,B,cplex-180,10800.39,455.922
1_Dist,B,cplex-5,300.09,461.804
1_Dist,B,heuristic,1.052,1320.925
1_Dist,B1,bound,10800.19,455.513
1_Dist,B1,cplex-180,10800.19,466.711
1_Dist,B1,cplex-5,300.03,479.482
1_Dist,B1,heuristic,0.654,905.734
1_Dist,C,bound,28.64,318.48
1_Dist,C,cplex-180,28.64,318.48
1_Dist,C,cplex-5,4.18,328.199
1_Dist,C,heuristic,1.053,508.546
1_Dist,C2,bound,0.73,525.109
1_Dist,C2,cplex-180,0.73,525.109
1_Dist,C2,cplex-5,0.14,525.109
1_Dist,C2,heuristic,1.277,3288.678
2_AFP,B,bound,10800.81,1103.795
2_AFP,B,cplex-180,10800.81,2850.504
2_AFP,B,cplex-5,300.64,3247.0
2_AFP,B,heuristic,12.113,3656.076
2_AFP,B1,bound,10800.7,1596.172
2_AFP,B1,cplex-180,10800.7,4368.807
2_AFP,B1,cplex-5,300.27,5106.803
2_AFP,B1,heuristic,13.751,13719.887
2_AFP,C,bound,10801.13,1185.664
2_AFP,C,cplex-180,5087.04,1249.296
2_AFP,C,cplex-5,300.5,1320.731
2_AFP,C,heuristic,22.754,1957.909
2_AFP,C2,bound,10801.19,1360.864
2_AFP,C2,cplex-180,10800.09,2038.139
2_AFP,C2,cplex-5,300.23,2154.631
2_AFP,C2,heuristic,33.519,9135.169
3_Slow,B,bound,10801.66,2510.09
3_Slow,B,cplex-180,10801.66,3360.239
3_Slow,B,cplex-5,300.54,3852.974
3_Slow,B,heuristic,11.689,4718.701
3_Slow,B1,bound,10801.1,2510.09
3_Slow,B1,cplex-180,10801.1,5116.191
3_Slow,B1,cplex-5,300.09,5843.915
3_Slow,B1,heuristic,14.71,14162.911
3_Slow,C,bound,1359.39,1695.333
3_Slow,C,cplex-180,1359.39,1695.333
3_Slow,C,cplex-5,121.67,1695.333
3_Slow,C,heuristic,22.213,2183.075
3_Slow,C2,bound,10801.49,1695.333
3_Slow,C2,cplex-180,10800.28,2309.449
3_Slow,C2,cplex-5,300.2,2441.781
3_Slow,C2,heuristic,27.173,9135.169
4_Full,B,bound,648.77,7475.541
4_Full,B,cplex-180,648.77,7475.541
4_Full,B,cplex-5,5.54,7475.541
4_Full,B,heuristic,12.149,8561.142
4_Full,B1,bound,435.06,7475.541
4_Full,B1,cplex-180,435.06,7476.269
4_Full,B1,cplex-5,97.95,7475.541
4_Full,B1,heuristic,14.93,16194.691
4_Full,C,bound,529.19,6915.925
4_Full,C,cplex-180,529.19,6915.925
4_Full,C,cplex-5,32.22,6915.925
4_Full,C,heuristic,23.015,6931.0
4_Full,C2,bound,364.21,6915.925
4_Full,C2,cplex-180,364.21,6915.925
4_Full,C2,cplex-5,3.67,6915.925
4_Full,C2,heuristic,28.478,16755.093