session,is_in,based_on,time,error
"Matrix Tensor",AFP,Other,314.517,0.003557069657900145
"Finite Fields",AFP,Other,466.74,0.004109505830843863
"TESL Language",AFP,Other,176.727,0.023884949557780536
"Prime Number Theorem",AFP,Other,651.756,0.02058843000842612
"Probability Inequality Completeness",AFP,Other,200.815,0.029783716085737186
"Noninterference Ipurge Unwinding",AFP,Other,172.715,0.0024403903711989763
"Aggregation Algebras",AFP,Other,333.293,0.1274789404146227
IOA-ABP,Distribution,Other,181.594,0.008438122920997519
Binomial-Queues,AFP,Other,161.627,0.13684891842429445
Sledgehammer,Distribution,Pure,9.768,0.017807469700325134
Hyperdual,AFP,Other,548.665,0.011989942719693275
"Sigma Commit Crypto",AFP,Other,699.439,0.11060646783158745
DiscretePricing,AFP,Other,603.602,0.08314120814038596
"Amortized Complexity",AFP,Other,335.058,0.12629508556967406
"Interpolation Polynomials HOL Algebra",AFP,Other,391.081,0.16212889101813044
Max-Card-Matching,AFP,Other,157.586,0.05300494601205765
"Dynamic Tables",AFP,Other,296.497,0.06164886785760396
CISC-Kernel,AFP,Other,172.697,0.08630565843707694
"Kleene Algebra",AFP,Other,213.37,0.010077919136753415
FFT,AFP,Other,157.705,0.06070774568403654
Matroids,AFP,Other,161.465,0.08571693815737721
"GaleStewart Games",AFP,Other,190.875,0.06944518508110163
"Neumann Morgenstern Utility",AFP,Other,538.066,0.073129276150141
UTP-Toolkit,AFP,Other,416.956,0.022926649988425845
"Actuarial Mathematics",AFP,Other,582.535,0.0767344419276269
"Three Circles",AFP,Other,331.317,0.008735172957028269
Nominal2,AFP,Other,190.913,0.012741513055853245
"Call Arity",AFP,Other,270.4,0.2617195107802543
"Rewrite Properties Reduction",AFP,Other,329.136,0.0035632553755431287
Abstract-Rewriting,AFP,Other,301.325,0.07575991941449871
"Clique and Monotone Circuits",AFP,Other,676.154,0.01742375605717704
QHLProver,AFP,Other,584.642,0.0021338351896494816
IOA-ex,Distribution,Other,179.15,0.08763235711462936
"HOL-Real Asymp",Distribution,Other,282.988,0.005042057569509223
"Amicable Numbers",AFP,Other,396.108,0.0022812975061755995
HOL-TLA-Memory,Distribution,Other,167.861,0.009815507288578103
"Demo LIPIcs",Distribution,Other,156.236,0.27112750621730247
"Binary Code Imprimitive",AFP,Other,204.837,0.04999973400143931
Sequents,Distribution,Pure,12.69,0.03552195712744266
"InformationFlowSlicing Inter",AFP,Other,571.191,0.03127404651432592
"Earley Parser",AFP,Other,225.643,0.00778207241113867
"Buffons Needle",AFP,Other,526.615,0.10563780807455858
"Logging Independent Anonymity",AFP,Other,178.664,0.09166951621048645
"HOL-Real Asymp-Manual",Distribution,Other,206.067,0.07344389515810841
"Ptolemys Theorem",AFP,Other,474.073,0.060747082087287525
"Intro Dest Elim",AFP,Other,156.599,0.022826146240977795
"Stone Kleene Relation Algebras",AFP,Other,317.003,0.03707782093542646
"Roy Floyd Warshall",AFP,Other,156.691,0.054145221823671215
LinearQuantifierElim,AFP,Other,314.149,0.14168113285785605
Abstract-Hoare-Logics,AFP,Other,165.659,0.05479363156145093
"Adaptive State Counting",AFP,Other,535.812,0.05915460696683343
FOLP,Distribution,Pure,11.191,0.05933516552435471
"Abstract Completeness",AFP,Other,272.001,0.13482531265033929
General-Triangle,AFP,Other,156.531,0.09494327490979132
HOL-Bali,Distribution,Other,248.108,0.015756854874840343
"Sturm Tarski",AFP,Other,315.868,0.048056059828801456
Functional-Automata,AFP,Other,270.915,0.033029345463435326
"Pi Transcendental",AFP,Other,652.903,0.002996232456134942
Forcing,AFP,Other,62.233,0.0064488051113197695
Tutorial,Distribution,Other,183.146,0.2146427421186092
VectorSpace,AFP,Other,399.276,0.04716987212590425
Green,AFP,Other,551.865,0.03811528242717206
"Partial Function MR",AFP,Other,159.248,0.06837178650242194
HOLCF-Prelude,AFP,Other,207.073,0.0067902360694256664
"Graph Saturation",AFP,Other,286.125,0.07599897027340902
"Types To Sets Extension",AFP,Other,272.492,0.006751517170865859
"Password Authentication Protocol",AFP,Other,311.043,0.0037013696484925677
"Irrationals From THEBOOK",AFP,Other,651.946,0.059423908272810105
ShortestPath,AFP,Other,282.709,0.06227567145191293
Gauss-Jordan-Elim-Fun,AFP,Other,170.032,0.0589260254460163
SIFPL,AFP,Other,191.325,0.10051842590722508
"Sepref Basic",AFP,Other,412.313,0.1291458589477033
System,Distribution,Pure,19.574,1.369902064063592
"Turans Graph Theorem",AFP,Other,613.378,0.08004967025375989
Kruskal,AFP,Other,481.552,0.10786790317319933
IOA-Storage,Distribution,Other,179.187,0.014204474630155188
RSAPSS,AFP,Other,351.857,0.012886068918350225
Locales,Distribution,Other,157.7,0.06310066924045978
Implementation,Distribution,Other,161.599,0.22173746932886318
"Minimal SSA",AFP,Other,537.074,0.0689694603784132
"Ackermanns not PR",AFP,Other,157.621,0.06772349518187558
"Verified SAT Based AI Planning",AFP,Other,256.088,0.013832268387987455
BDD,AFP,Other,311.386,0.06470114399017594
ClockSynchInst,AFP,Other,159.544,0.01669567262561519
Nitpick,Distribution,Pure,9.78,0.017943146636495804
"Combinatorics Words Lyndon",AFP,Other,204.732,0.0788278196421064
"Gabow SCC",AFP,Other,494.531,0.006787668491604444
DiskPaxos,AFP,Other,184.952,0.1091425673385466
CYK,AFP,Other,159.675,0.04921609971095481
"Applicative Lifting",AFP,Other,559.885,0.15017602128198304
"Goodstein Lambda",AFP,Other,159.171,0.053505870465338654
"Banach Steinhaus",AFP,Other,480.027,0.037236872394378125
HOL-TLA-Inc,Distribution,Other,161.537,0.0626784101383385
MHComputation,AFP,Other,158.152,0.04349160889101686
"Elliptic Curves Group Law",AFP,Other,385.799,0.09948913976904249
"SDS Impossibility",AFP,Other,564.205,0.007768380345114165
"IMP Compiler Reuse",AFP,Other,198.805,0.1028395489385318
"Tree Enumeration",AFP,Other,310.599,0.007836842799609778
"Multiset Ordering NPC",AFP,Other,360.673,0.09285967952734304
"Lowe Ontological Argument",AFP,Other,166.94,0.4413541696066587
"Special Function Bounds",AFP,Other,326.269,0.0167664388685781
"BD Security Compositional",AFP,Other,243.988,0.1880698769559653
Menger,AFP,Other,163.503,0.06410390113571761
"Hidden Markov Models",AFP,Other,591.552,0.06634847924773743
"Skew Heap",AFP,Other,262.287,0.0925386031919644
"Wetzels Problem",AFP,Other,565.707,0.0027291219273885663
Compiling-Exceptions-Correctly,AFP,Other,158.641,0.14035478121108733
RIPEMD-160-SPARK,AFP,Other,179.664,0.03798019043058568
"Sliding Window Algorithm",AFP,Other,170.978,0.19659549574017043
AWN,AFP,Other,217.574,0.016506680839129494
"Laws of Large Numbers",AFP,Other,591.823,0.060904378569136296
"IFC Tracking",AFP,Other,178.965,0.0023636801564244792
"SCC Bloemen Sequential",AFP,Other,177.661,0.21027360434810627
Separata,AFP,Other,271.252,0.1474090136737146
"Boolean Expression Checkers",AFP,Other,271.422,0.09913612128862444
"Word Lib",AFP,Other,253.93,0.15760378944466338
FOLP-ex,Distribution,Other,14.068,0.007835403736111664
"Youngs Inequality",AFP,Other,480.164,0.09781435955843625
HOL-Examples,Distribution,Other,254.059,0.08175864296439886
"Pairing Heap",AFP,Other,264.299,0.08618315713963223
"HOL-Quickcheck Examples",Distribution,Other,225.274,0.19179926620369184
"Hales Jewett",AFP,Other,170.888,0.021441181616895358
CCS,AFP,Other,176.571,0.05972020937798308
Pure-ex,Distribution,Pure,10.377,0.019394436764223633
"Combinable Wands",AFP,Other,180.655,0.05575281716104773
"Demo Easychair",Distribution,Other,156.151,0.16224484043614837
"Lambda Free EPO",AFP,Other,288.756,0.0065215028029663655
"Real Impl",AFP,Other,213.267,0.005054422298866183
"Topological Semantics",AFP,Other,211.784,0.035041350723283474
FOL-Fitting,AFP,Other,278.721,0.006051306418933995
"Root Balanced Tree",AFP,Other,336.117,0.1978645355772586
HOL-SPARK-Examples,Distribution,Other,185.94,0.1425871825667301
UTP,AFP,Other,441.935,0.0752017381442057
VolpanoSmith,AFP,Other,162.334,0.13690721165153438
VerifyThis2018,AFP,Other,489.359,0.08666427254446299
"Real Time Deque",AFP,Other,244.826,0.04434247665546894
Recursion-Theory-I,AFP,Other,169.738,0.06851515954667173
HOL-TPTP,Distribution,Other,159.638,0.058545352496448336
"Deep Learning",AFP,Other,732.316,0.02005618670291706
"Prefix Free Code Combinators",AFP,Other,264.52,0.046821571654795044
Involutions2Squares,AFP,Other,158.413,0.03382035026172157
"Ordered Resolution Prover",AFP,Other,329.751,0.029024274973340095
"Symmetric Polynomials",AFP,Other,355.212,0.005934351537522639
"SIFUM Type Systems",AFP,Other,196.615,0.01844245925923801
"Incredible Proof Machine",AFP,Other,298.194,0.08329109480040137
"Dedekind Real",AFP,Other,163.172,0.15322068987039478
"Gaussian Integers",AFP,Other,359.987,0.18123382581791628
Cube,Distribution,Pure,10.142,0.037023685173749335
"Girth Chromatic",AFP,Other,604.974,0.07247119432016198
"Formula Derivatives-Examples",AFP,Other,397.512,0.1434225382459399
Intro,Distribution,Pure,9.777,0.018149850073251112
"Concurrent Revisions",AFP,Other,195.877,0.10974121850884201
"HOL-Metis Examples",Distribution,Other,298.139,0.00363603222560131
SATSolverVerification,AFP,Other,339.049,0.14265036016115457
HyperCTL,AFP,Other,276.521,0.22714789802764876
DynamicArchitectures,AFP,Other,350.944,0.11097073079632014
"Complete Non Orders",AFP,Other,175.087,0.02663669344848394
ZF-AC,Distribution,Other,26.318,0.018723712447554046
"Lorenz C1",AFP,Other,1103.987,0.09735419230881061
Catoids,AFP,Other,388.796,0.06710929103742737
SpecCheck,AFP,Pure,10.59,0.0437427536692924
Ramsey-Infinite,AFP,Other,166.347,0.04744108276358382
"Median Of Medians Selection",AFP,Other,169.229,0.017189382918770504
"Combinatorics Words Graph Lemma",AFP,Other,199.272,0.014891878430203655
"Bounded Deducibility Security",AFP,Other,174.208,0.144267133885789
HOL-Probability-ex,Distribution,Other,530.728,0.12094021505542207
Ordinal,AFP,Other,167.024,0.01126300824210141
DPT-SAT-Solver,AFP,Other,158.873,0.04115691952106947
"Metalogic ProofChecker",AFP,Other,297.705,0.10801313240149371
"Synthetic Completeness",AFP,Other,183.262,0.12470827072589294
"Gale Shapley",AFP,Other,262.475,0.0784365519148348
"Polynomial Interpolation",AFP,Other,310.38,0.058591474818352675
"Given Clause Loops",AFP,Other,376.261,0.10791436820315722
"Distributed Distinct Elements",AFP,Other,774.676,0.0709699023252969
"Standard Borel Spaces",AFP,Other,562.646,0.007967574217757529
Finite-Map-Extras,AFP,Other,175.215,0.03416177582896238
"Extended Finite State Machines",AFP,Other,305.67,0.02579370544650205
ZF-ex,Distribution,Other,28.425,0.012670055201167535
HOL-Homology,Distribution,Other,623.808,0.023692506075546692
"Irrationality J Hancl",AFP,Other,548.256,0.10317309686084916
"Error Function",AFP,Other,536.931,0.09146561114112879
Lp,AFP,Other,546.67,0.008940274558134457
"Buchi Complementation",AFP,Other,510.474,0.04187394534614022
Finger-Trees,AFP,Other,272.674,0.11664061418859255
MDP-Rewards,AFP,Other,549.208,0.1511114278311427
"Multitape To Singletape TM",AFP,Other,188.745,0.01648863843838353
"Differential Game Logic",AFP,Other,518.481,0.031155481324544435
"Cotangent PFD Formula",AFP,Other,526.677,0.0021942046486565026
Matrix,AFP,Other,306.865,0.003652926309072367
VeriComp,AFP,Other,161.606,0.022957010285721384
LambdaAuth,AFP,Other,226.209,0.12673134452342413
ConcurrentIMP,AFP,Other,287.655,0.022800879415569447
"FOL Seq Calc3",AFP,Other,276.427,0.06495375228973586
"Ergodic Theory",AFP,Other,622.778,0.1846996409255241
"Hybrid Multi Lane Spatial Logic",AFP,Other,207.725,0.06546502010714186
"Formal Puiseux Series",AFP,Other,306.744,0.047343085958159684
"Complex Geometry",AFP,Other,224.425,0.0033294502673776034
Functions,Distribution,Other,158.053,0.0346722370336003
Zeckendorf,AFP,Other,334.391,0.10301683140364852
"Constructor Funs",AFP,Other,160.911,0.03548238838150941
TLA,AFP,Other,169.412,0.031477701459424814
Stream-Fusion,AFP,Other,172.816,0.12561159794911425
ZF,Distribution,Pure,29.162,0.02248127979651987
HOL-Proofs-Lambda,Distribution,Other,377.067,0.00903660505970796
"Allen Calculus",AFP,Other,265.215,0.014347996599813525
"Sqrt Babylonian",AFP,Other,171.405,0.031642550056053736
"Orbit Stabiliser",AFP,Other,379.131,0.1263528242401165
"Stalnaker Logic",AFP,Other,183.967,0.04693419376272334
DCR-ExecutionEquivalence,AFP,Other,157.133,0.05619082534635646
Main,Distribution,Other,156.73,0.13125579506215304
"KAT and DRA",AFP,Other,238.598,0.007166178382606609
"Random Graph Subgraph Threshold",AFP,Other,597.529,0.025477559041209106
HOL-Lattice,Distribution,Other,158.374,0.057562223959782104
"Risk Free Lending",AFP,Other,179.211,0.03485244491093013
POPLmark-deBruijn,AFP,Other,277.384,0.011060166259389775
"Efficient Weighted Path Order",AFP,Other,341.547,0.09003816545839763
"Abortable Linearizable Modules",AFP,Other,189.921,0.15599734760514172
"CAVA Base",AFP,Other,376.798,0.27122163670596094
"Coupledsim Contrasim",AFP,Other,299.116,0.02309468962324359
"Stone Algebras",AFP,Other,193.079,0.003340193415401388
"HOL-SMT Examples",Distribution,Other,241.792,0.005347757040913233
Tree-Automata,AFP,Other,387.486,0.01564571075865744
CCL,Distribution,Pure,14.07,0.07201022364815973
Clean,AFP,Other,192.524,0.00447989237768081
Marriage,AFP,Other,158.006,0.09030730013187076
CryptoBasedCompositionalProperties,AFP,Other,163.377,0.0895528349066886
"Order Lattice Props",AFP,Other,312.399,0.011444054769823696
"Saturation Framework Extensions",AFP,Other,330.46,0.06902202738487087
AxiomaticCategoryTheory,AFP,Other,178.876,0.38528618959689304
Show,AFP,Other,313.919,0.024697567154285078
"Koenigsberg Friendship",AFP,Other,369.968,0.08613943020490301
CRDT,AFP,Other,177.681,0.003268126898690949
"Well Quasi Orders",AFP,Other,288.207,0.11259945566670967
"Game Based Crypto",AFP,Other,641.929,0.11055566727787101
PropResPI,AFP,Other,168.189,0.07676973150621232
"Commuting Hermitian",AFP,Other,689.763,0.01848369610297311
Robbins-Conjecture,AFP,Other,164.423,0.14560101062727285
FinFun,AFP,Other,160.81,0.046836566892383205
"Hoare Time",AFP,Other,256.714,0.006133515729735556
"Minkowskis Theorem",AFP,Other,474.201,0.08413353980431156
"Poincare Bendixson",AFP,Other,1068.891,0.004872561307985794
"Prim Dijkstra Simple",AFP,Other,233.665,0.0562305727537162
"Noninterference Inductive Unwinding",AFP,Other,165.848,0.008819016392058164
"Stable Matching",AFP,Other,373.831,0.0015794653074673308
"IO Language Conformance",AFP,Other,277.282,0.08449084360492168
"S Finite Measure Monad",AFP,Other,649.992,0.10883284554057933
"Knuth Morris Pratt",AFP,Other,456.347,0.07435789405708923
"IMP2 Binary Heap",AFP,Other,220.986,0.12820262269028518
Eisbach,Distribution,Other,157.672,0.05353480688255492
"Kuratowski Closure Complement",AFP,Other,496.942,0.1270574919860044
GoedelGod,AFP,Other,158.981,0.04021641103852861
"Rep Fin Groups",AFP,Other,349.301,0.005425831130963079
"ADS Functor",AFP,Other,281.165,0.11017712188460738
"Edwards Elliptic Curves Group",AFP,Other,233.473,0.009875365678433713
FunWithTilings,AFP,Other,169.839,0.1032705067811211
UPF,AFP,Other,180.626,0.002339739682073889
"BNF Operations",AFP,Other,172.985,0.0851469299209743
"Schutz Spacetime",AFP,Other,333.465,0.045568912128800654
"LTL Master Theorem",AFP,Other,603.53,0.24469414882720622
HOLCF-Tutorial,Distribution,Other,172.708,0.0046499925580073985
"Ordinals and Cardinals",AFP,Other,172.475,0.0849338293375884
"HOL-Number Theory",Distribution,Other,415.631,0.28538323206969113
"Fisher Yates",AFP,Other,524.416,0.1801613972120037
"Mersenne Primes",AFP,Other,474.303,0.14523418383853964
FLP,AFP,Other,175.795,0.1762916446622946
"Euler MacLaurin",AFP,Other,649.821,0.10036005243572078
"Cubic Quartic Equations",AFP,Other,725.406,0.0010448708923168767
Transitive-Closure,AFP,Other,363.675,0.006575047430376793
MonoBoolTranAlgebra,AFP,Other,163.819,0.110386361840175
"Polynomial Factorization",AFP,Other,504.363,0.2632963253084063
AOT,AFP,Other,252.346,0.0026342130258293823
"Suppes Theorem",AFP,Other,202.245,0.049085585634019845
"Certification Monads",AFP,Other,161.066,0.1705013443010974
Cauchy,AFP,Other,160.12,0.058001467841256905
Binomial-Heaps,AFP,Other,279.006,0.13209623063122156
"Belief Revision",AFP,Other,167.659,0.12659510138875368
"Strong Security",AFP,Other,169.509,0.21041697146093222
"Heard Of",AFP,Other,189.349,0.0972447466581641
"Implicational Logic",AFP,Other,158.217,0.08942722674870189
"Surprise Paradox",AFP,Other,406.753,0.008894965116537642
HOLCF-IMP,Distribution,Other,171.89,0.21035462810779423
"Demo EPTCS",Distribution,Other,156.243,0.17422950987677788
"List Update",AFP,Other,639.123,0.29423472032494047
"Sepref Prereq",AFP,Other,409.99,0.019474992382162517
HOL-Mirabelle-ex,Distribution,Other,157.621,0.13442052773778532
MuchAdoAboutTwo,AFP,Other,270.007,0.07795683913386314
LCF,Distribution,Pure,12.279,0.06493828757944711
"CSP RefTK",AFP,Other,264.042,0.058449832906082286
Myhill-Nerode,AFP,Other,289.866,0.08395555034030981
AVL-Trees,AFP,Other,177.525,0.1552761678951988
Presburger-Automata,AFP,Other,288.882,0.04112881630058903
"UPF Firewall",AFP,Other,250.155,0.14901667285948547
"Hello World",AFP,Other,158.109,0.014159094874002196
PSemigroupsConvolution,AFP,Other,180.677,0.11730039750792616
"Knot Theory",AFP,Other,385.299,0.1366152905181793
"Relational Paths",AFP,Other,295.48,0.0021148061294381194
ROBDD,AFP,Other,415.635,0.13609242980682507
Pure-Examples,Distribution,Pure,10.35,0.04113514323635893
Depth-First-Search,AFP,Other,156.748,0.012903787323426511
"HOL-Quotient Examples",Distribution,Other,390.244,0.0022299419631248403
"Saturation Framework",AFP,Other,316.27,0.0812993678630418
"Generic Join",AFP,Other,178.967,0.030987762835296778
Registers,AFP,Other,932.515,0.004782944739944323
"Rewriting Z",AFP,Other,194.477,0.07706820153180725
"Euler Polyhedron Formula",AFP,Other,491.337,0.14771956023126578
"Noninterference Concurrent Composition",AFP,Other,175.862,0.08754213116879947
"HOL-Nonstandard Analysis",Distribution,Other,307.158,0.12964083568113421
"Epistemic Logic",AFP,Other,180.071,0.050711115401177426
"CAVA Automata",AFP,Other,419.663,0.010766662046875949
"Independence CH",AFP,Other,190.803,0.06324077605704496
"Public Announcement Logic",AFP,Other,186.374,0.051997894263406085
"Splay Tree",AFP,Other,280.155,0.14522845963009912
"Monad Normalisation",AFP,Other,522.574,0.00940903557798713
"Rank Nullity Theorem",AFP,Other,478.766,0.0687771832504848
"Safe Range RC",AFP,Other,454.629,0.08758574838087935
"Package logic",AFP,Other,179.506,0.12836837199265708
"Real Power",AFP,Other,164.089,0.10424582873084007
SuperCalc,AFP,Other,303.911,0.1330922761312185
GewirthPGCProof,AFP,Other,179.189,0.024355542288482343
"Falling Factorial Sum",AFP,Other,265.803,0.08454252205720765
"Transitive Models",AFP,Other,103.028,0.020234175490648033
"Store Buffer Reduction",AFP,Other,352.852,0.15406614887405073
"Latin Square",AFP,Other,162.681,0.08538202535738068
"Generalized Counting Sort",AFP,Other,304.702,0.10308144098697544
"Noninterference CSP",AFP,Other,162.592,0.02570566338987649
OpSets,AFP,Other,172.471,0.03601724775938311
"Isar Ref",Distribution,Other,178.419,0.031227828906732463
Decreasing-Diagrams-II,AFP,Other,301.018,0.11696600165452128
"Jordan Hoelder",AFP,Other,384.912,0.1305162374057328
"MFMC Countable",AFP,Other,601.167,0.002377943007545837
Tycon,AFP,Other,174.793,0.024829042512311942
"Inductive Confidentiality",AFP,Other,166.945,0.04556582387616723
"Balog Szemeredi Gowers",AFP,Other,721.263,0.06526575961289591
"Twelvefold Way",AFP,Other,331.134,0.03112229667761714
Fourier,AFP,Other,574.074,0.04507418726260497
"Grothendieck Schemes",AFP,Other,315.212,0.076157971586408
Verified-Prover,AFP,Other,162.568,0.10912570765043426
"Tail Recursive Functions",AFP,Other,264.3,0.007758425174358133
"Power Sum Polynomials",AFP,Other,358.929,0.001736413203052164
"Lambda Free RPOs",AFP,Other,284.436,0.014056158463382354
"UpDown Scheme",AFP,Other,511.47,0.13931168860781012
"Conditional Simplification",AFP,Other,156.608,0.00280243063505739
"Irrational Series Erdos Straus",AFP,Other,664.6,0.08585216027241951
"FOL Seq Calc1",AFP,Other,288.482,0.06700831786709414
"Ribbon Proofs",AFP,Other,273.346,0.11319415002827572
"Relational Forests",AFP,Other,303.012,0.02491469689983155
"Descartes Sign Rule",AFP,Other,292.227,0.14913322412029079
"Budan Fourier",AFP,Other,317.618,0.3012842139254193
Shivers-CFA,AFP,Other,191.513,0.05740342315783458
"Birkhoff Finite Distributive Lattices",AFP,Other,163.696,0.08075463743799004
Quantales,AFP,Other,353.999,0.004506589313942337
"Skip Lists",AFP,Other,533.469,0.0715028498100362
"Gauss Sums",AFP,Other,645.293,0.020877861330184273
TortoiseHare,AFP,Other,264.652,0.1038974515813955
"Inductive Inference",AFP,Other,262.009,0.0713207407157742
"Stuttering Equivalence",AFP,Other,293.51,0.042182120736320564
"Isabelle Meta Model",AFP,Other,369.203,0.00395966949584618
HOL-Hoare,Distribution,Other,175.055,8.109800484653334E-4
Triangle,AFP,Other,475.041,0.06656508627267148
Ceva,AFP,Other,480.463,0.09005872351710535
SimplifiedOntologicalArgument,AFP,Other,195.896,0.024303786526333887
LambdaMu,AFP,Other,160.88,0.013552644961397667
"ABY3 Protocols",AFP,Other,609.46,0.017147454889326858
IOA,Distribution,Other,184.461,0.12432218436230938