job,threads,factor
7,1,1.0
7,16,5.333333333333333
7,8,4.848484848484849
7,4,3.1284916201117317
7,32,2.8
7,64,1.3114754098360655
11,16,4.812101910828026
11,1,1.0
11,4,2.5610169491525423
11,8,4.405247813411079
15,16,4.91869918699187
15,1,1.0
15,4,2.7688787185354693
15,8,4.708171206225681
17,1,1.0
17,4,2.911764705882353
17,8,3.9865771812080535
19,16,5.215
19,1,1.0
19,4,3.0766961651917404
19,8,4.65625
21,1,1.0
21,4,2.4442270058708413
21,8,3.412568306010929
23,16,4.959798994974874
23,1,1.0
23,4,3.074766355140187
23,8,5.335135135135135
25,24,4.311688311688312
25,1,1.0
25,12,5.858823529411764
25,16,5.627118644067797
25,8,5.134020618556701
25,4,2.728767123287671
27,1,1.0
27,4,1.748178137651822
27,8,1.8234797297297298
29,1,1.0
29,4,1.819767441860465
29,8,2.162348877374784
31,1,1.0
31,4,2.5423312883435583
31,8,3.106446776611694
35,16,4.898305084745763
35,1,1.0
35,4,2.5406593406593405
35,8,3.8026315789473686
37,16,5.736196319018405
37,1,1.0
37,4,2.6945244956772334
37,8,4.869791666666667
39,1,1.0
39,128,0.26835730507191524
39,16,6.445454545454545
39,8,4.6644736842105265
39,4,3.0170212765957447
39,32,2.276083467094703
39,64,0.8107489994282447
40,1,1.0
40,4,1.7088122605363985
40,8,2.35978835978836
42,1,1.0
42,32,1.5624195624195625
42,16,4.229965156794425
42,8,3.954397394136808
42,4,2.662280701754386
44,16,5.051428571428572
44,1,1.0
44,4,2.5402298850574714
44,8,4.398009950248756
46,1,1.0
46,4,2.588621444201313
46,8,4.694444444444445
48,1,1.0
48,4,2.778
48,8,3.7642276422764227
50,1,1.0
50,4,2.265
50,8,3.80672268907563
56,24,3.507042253521127
56,1,1.0
56,12,4.12707182320442
56,16,4.173184357541899
56,8,4.69811320754717
56,4,2.58477508650519
57,1,1.0
57,3,2.2731788079470197
57,4,2.9718614718614718
57,6,3.8895184135977336
59,1,1.0
59,4,2.557446808510638
59,8,4.277580071174377
61,1,1.0
61,4,3.107594936708861
61,8,4.813725490196078
65,5,3.6901408450704225
65,10,5.402061855670103
65,1,1.0
65,8,4.763636363636364
65,4,2.994285714285714
67,16,2.9878934624697338
67,1,1.0
67,4,2.346007604562738
67,8,2.7240618101545255
69,16,3.209090909090909
69,1,1.0
69,4,2.052325581395349
69,8,2.4859154929577465
71,1,1.0
71,32,2.7777777777777777
71,16,5.777310924369748
71,8,4.568106312292358
71,4,2.9069767441860463
73,1,1.0
73,4,2.4895833333333335
73,8,3.3852691218130313
75,1,1.0
75,4,2.3717277486910993
75,8,3.134948096885813
77,1,1.0
77,4,2.315240083507307
77,8,3.648026315789474
79,1,1.0
79,16,5.389162561576355
79,8,4.883928571428571
79,4,2.52073732718894
79,32,2.475113122171946
79,64,0.8091715976331361
81,1,1.0
81,16,3.54320987654321
81,8,4.205128205128205
81,4,2.2823061630218686
81,32,1.5661664392905865
81,64,0.5254004576659039
83,1,1.0
83,128,0.029269622543309625
83,16,3.1662198391420913
83,8,3.383954154727794
83,4,2.0646853146853146
83,32,0.8652014652014652
83,64,0.25
85,1,1.0
85,16,2.7402912621359223
85,8,3.320588235294118
85,4,1.9398625429553265
85,32,0.8527190332326284
85,64,0.21366389099167296
87,24,5.0049423393739705
87,1,1.0
87,12,5.311188811188811
87,16,5.808795411089866
87,8,4.050666666666666
87,4,2.48
89,1,1.0
89,32,3.2453703703703702
89,16,4.9020979020979025
89,8,5.043165467625899
89,4,2.665399239543726
91,1,1.0
91,4,2.003787878787879
91,8,2.3458980044345896
93,1,1.0
93,6,3.3974763406940065
93,12,3.974169741697417
93,8,3.663265306122449
93,4,2.5704057279236276
95,14,5.625
95,1,1.0
95,28,4.069767441860465
95,16,6.128404669260701
95,8,4.12303664921466
95,4,2.145776566757493
97,1,1.0
97,4,2.4308681672025725
97,8,3.00596421471173
99,24,3.782608695652174
99,1,1.0
99,12,5.912621359223301
99,16,5.536363636363636
99,8,5.25
99,4,2.780821917808219
101,1,1.0
101,3,2.0795262267343486
101,4,2.997560975609756
101,6,3.6253687315634218